id,title,status,file,related_files
ADR-001,Stack Choice,Accepted,adrs/ADR-001-stack-choice.md,REPO_STRUCTURE.md; DEPLOYMENT_PLAN.md; API_CONTRACT_PLAN.md; openapi.json
ADR-002,Authentication Model,Accepted,adrs/ADR-002-auth-model.md,RLS_POLICY_MATRIX.json; staff_users module; security_audit_console module; THREAT_MODEL_AUTH.md
ADR-003,"RBAC, RLS and Scope Model",Accepted,adrs/ADR-003-rbac-rls-model.md,RLS_POLICY_MATRIX.json; FIELD_MASKING_MATRIX.json; HIGH_RISK_ACTIONS.json; SECURITY_TEST_CASES.json
ADR-004,Database and Migration Strategy,Accepted,adrs/ADR-004-database-and-migration-strategy.md,DATABASE_SCHEMA_REGISTRY.json; MIGRATION_DEPLOYMENT_PLAN.md; ROLLBACK_PLAN.md; rollback.schema.json
ADR-005,File Storage and Signed URL Strategy,Accepted,adrs/ADR-005-file-storage-and-signed-url-strategy.md,SIGNED_URL_RESPONSE_CONVENTION.md; exam_material_ops module; reports_exports module; certificate_ops module
ADR-006,Worker Queue Strategy,Accepted,adrs/ADR-006-worker-queue-strategy.md,WORKER_JOB_PLAN.md; task_work_queue module; notification_ops module; reports_exports module
ADR-007,Audit Event Model,Accepted,adrs/ADR-007-audit-event-model.md,security_audit_console module; AUDIT_METADATA_CONVENTION.md; THREAT_REGISTER.json
ADR-008,Feature Flag Strategy,Accepted,adrs/ADR-008-feature-flag-strategy.md,FEATURE_FLAGS.json; PRODUCTION_FEATURE_FLAG_DEFAULTS.json; ROLLBACK_PLAN.md
ADR-009,Reports and Export Security,Accepted,adrs/ADR-009-reports-and-export-security.md,reports_exports module; FIELD_MASKING_MATRIX.json; PUBLIC_PRIVATE_ROUTE_ALLOWLIST.json
ADR-010,Public Verification Strategy,Accepted,adrs/ADR-010-public-verification-strategy.md,certificate_ops module; PUBLIC_PRIVATE_ROUTE_ALLOWLIST.json; public_verification threat model
ADR-011,Result and Certificate Versioning,Accepted,adrs/ADR-011-result-and-certificate-versioning.md,results_ops module; certificate_ops module; HIGH_RISK_ACTIONS.json
ADR-012,Deployment and Rollback Strategy,Accepted,adrs/ADR-012-deployment-and-rollback-strategy.md,DEPLOYMENT_PLAN.md; CI_CD_PIPELINE.md; PRODUCTION_DEPLOYMENT_CHECKLIST.md; ROLLBACK_DRILL_RUNBOOK.md
