path,size_bytes,sha256
BRAIN_INDEX.md,1774,fe4eb99e65ccdede104eb85f56f41e1eb6997ff266358569ca01e79c68ce7c7a
BRAIN_REGISTRY.json,2924,d62727514f789aadf4db36092572c12382a250e9bf154d9b3c4a487ad44eddc4
BRAIN_TO_SKILLS_MAPPING.md,617,fcc73ea15e99e69f747a5a4b1dcefad6d4ee91e8fe5ccad1cf970e6555cafd89
CLAUDE_CODEX_BRAIN_START_PROMPT.md,756,22fdca6db683589a6a347bf1fbf16abb79bc97c0f781d42ab572d2f3d2ad5db4
FOUNDER_BRAIN_CHECKLIST.md,616,404369d186e827ba4aa54d626f5308405f6ab6c4f7cf41383c422fa9404291c3
MEMORY_UPDATE_TEMPLATE.md,589,e78f80def64e3848e52c24b12b0c5e20395b26df0c7555d7e5cb1bf1e72d202b
PACKAGE_MANIFEST.csv,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
PACKAGE_MANIFEST.json,4349,4f8aed9954ff1d87833be46c115ee0ca0ed720af8286a088dad3fc9ded686a99
README.md,920,41e347791b32d43fd9d87a4b7acb585b2ebb71dd89a1743a5b8b87e44bc145f7
brain/00_founder_thinking.md,1479,cbbf7d86b5955ea40cacda2e9c4c2120033f145bb6deb8fde9d34390feb34e6a
brain/01_product_philosophy.md,1609,ef24664e9363e96d5921aa284809383339eafcd5ff0040249d3d95357f31a7c9
brain/02_quality_bar.md,1678,fc3ca6d86de4af243106670cc0c7cfb8b7f4b31ab8520ec28109e484a30d325a
brain/03_gap_detection_heuristics.md,1420,3724b7ff219f961409d333096ab8ccf553962aff8a9705b5a3c25bca10679531
brain/04_bug_fix_method.md,1213,4fc6c30ca1df7ff12c4006ca45013972ac5aae3a76791c6e8f47814414402307
brain/05_feature_completion_definition.md,1266,20ceaf1cad6babadd6821adf2c32314ce057ead63b450cbf7285228f7c0318c8
brain/06_examples_good_vs_bad.md,1800,f988e465d69780a92430adff9bf0de7a7ded9fefbc06ccfc8af191b041a9d2e2
brain/07_project_memory.md,1994,238b325d245a077f7601d0291c144ce86568e08193cca27dec721a7811f872d9
brain/08_decision_patterns.md,1157,7cae1da658332d3c422a542f1d07686cce47f6993f23c461f8914b741a5398fd
brain/09_when_to_stop_and_ask.md,921,c295f574d1dc50976d7d76776ca9a47ea866361fdbf09f4ba7815d468dc3c35d
brain/10_self_review_questions.md,1267,1786e2cd078dfe8583b7a754ecbcb745fbb5093fbafe5c48a3e6b6ff0e973587
brain/11_operating_model.md,1005,df0a819c50e43a4eb89e239bf1e410035bce2875e6d235d0f53eb76c37b47fe4
