pack_name,skill_ids
Production Build Control Pack,"00,15,16,17"
Production Implementation Starter Pack,"01,06,07,08,09"
Executable Build Scripts Pack,"15,16,17"
API Contract Bundle,"05,09,16"
Repo Scaffold / Working App Skeleton Pack,"00,01,13,16"
Seed Mock Data Pack,"14,04,16"
Design System Implementation Pack,"03,13,16"
Deployment and CI/CD Implementation Pack,"15,12,16"
Threat Model Pack,"08,17"
Full Individual ADR Pack,"00,01,17"
Worker Queue Implementation Pack,"11,09,12"
Observability Implementation Pack,"12,15"
Actual Business Feature Implementation Pack,"01,02,03,04,05,06,07,08,09,10,11,12,13,16,17"
Feature Effects + Screen Contracts + Journey Acceptance Pack,"02,03,04,13,16,17"
