threat_id,domain,category,title,risk,impact,mitigations,tests
THR-AUTH-001,auth,spoofing,Stolen staff session used to access internal console,critical,"Unauthorized access to school, student, payment, result or material controls.",short_session_expiry; secure_cookies; session_revocation; failed_login_monitoring; step_up_auth_later; audit_staff_login_events,disabled_staff_cannot_login; session_revocation_blocks_access; staff_routes_require_auth
THR-AUTH-002,auth,elevation_of_privilege,Staff changes own role or scope,critical,Privilege escalation to admin or high-risk approval capability.,server_side_rbac; last_super_admin_protection; maker_checker_for_role_changes; self_role_change_block; audit_permission_events,staff_cannot_change_own_role; last_super_admin_protected; role_change_requires_approval
THR-SCOPE-001,school_scope,information_disclosure,School user accesses another school's roster using browser-submitted school_id,critical,Cross-school student PII leak.,server_resolved_school_id; own_school_scope_guard; deny_by_default; field_masking; cross_school_tests,cross_school_roster_access_blocked; browser_school_id_ignored; school_scope_guard_required
THR-SCOPE-002,school_scope,tampering,School changes locked roster or candidate mapping,high,Exam integrity and material/result mismatch.,roster_lock_state; post_lock_correction_workflow; reason_required; audit_roster_changes; candidate_id_never_reused,post_lock_edit_blocked; candidate_id_reuse_blocked; correction_requires_reason
THR-PAY-001,payments,tampering,Browser-submitted amount/payment status accepted,critical,Unpaid schools may pass finance gate or incorrect invoice amount recorded.,server_calculated_amounts; provider_signature_validation; manual_payment_dual_approval; idempotency; audit_finance_events,browser_payment_status_ignored; manual_confirmation_requires_approval; payment_amount_server_calculated
THR-PAY-002,payments,repudiation,Manual payment confirmation cannot be traced,critical,Finance disputes and exam gate bypass cannot be investigated.,reason_required; proof_required; audit_event_required; maker_checker; append_only_finance_events,manual_payment_requires_reason; manual_payment_audit_created; manual_payment_proof_required
THR-MAT-001,exam_materials,information_disclosure,Question paper URL exposed as public or long-lived link,critical,Exam paper leak.,private_storage_only; short_lived_signed_urls; download_audit; release_timer; revocation; no_raw_file_urls,material_file_public_url_blocked; signed_url_expires; download_audited; revoked_material_download_blocked
THR-MAT-002,exam_materials,tampering,Material version replaced without approval,critical,Wrong paper or answer sheet released.,versioned_material_packages; dual_approval_for_release_replace_revoke; maker_checker; audit_release_events,material_release_requires_dual_approval; material_replacement_creates_new_version; same_user_cannot_approve_own_release
THR-EVAL-001,evaluation_results,tampering,Answer key or OMR scores altered after approval,critical,"Wrong results, trust loss and certificate invalidity.",answer_key_versioning; score_batch_versioning; approval_required; no_overwrite_after_approval; audit_scoring,approved_answer_key_not_overwritten; score_recalculation_creates_new_version; score_batch_approval_required
THR-RES-001,evaluation_results,repudiation,Published result correction lacks traceability,critical,School/student disputes cannot be resolved.,published_result_versioning; correction_reason_required; certificate_impact_review; audit_result_events,published_result_correction_creates_new_version; correction_requires_reason; certificate_impact_review_required
THR-CERT-001,certificates,spoofing,Fake certificate passes public verification,critical,Loss of trust in certification.,unguessable_verification_codes; public_minimal_lookup; revocation_status; certificate_number_uniqueness; rate_limit,fake_verification_code_returns_not_found; revoked_certificate_shows_revoked; verification_rate_limit
THR-CERT-002,certificates,information_disclosure,Public verification reveals excessive student data,high,Privacy breach.,minimal_public_fields; public_allow_list; no_parent_contact; no_payment_status; no_raw_score_by_default,public_verification_minimal_fields; public_verification_no_parent_contact; public_verification_no_payment_status
THR-EXP-001,reports_exports,information_disclosure,Sensitive export leaks student PII or answer keys,critical,Large-scale privacy/security breach.,export_reason_required; masking_default; sensitive_export_approval; csv_injection_protection; signed_url_download; export_expiry,sensitive_export_requires_approval; export_masks_pii_default; export_excludes_answer_keys_default; export_download_audited
THR-PUB-001,public_verification,denial_of_service,Public verification endpoint abused by enumeration or bot traffic,high,Service degradation and certificate existence probing.,rate_limit; unguessable_codes; not_found_same_shape; no_broad_search; abuse_monitoring,public_verify_rate_limit; public_verify_no_broad_search; not_found_response_no_existence_leak
THR-AUD-001,security_audit,tampering,Audit event modified or deleted,critical,Loss of forensic integrity.,append_only_audit; event_hash; no_hard_delete; correction_event_only; restricted_raw_audit_access,audit_append_only; audit_delete_blocked; audit_event_hash_required; audit_correction_event_required
THR-NOTIF-001,notifications,information_disclosure,Bulk notification sent to wrong recipient list,high,PII leak and school trust loss.,server_resolved_recipients; bulk_send_approval; template_review; recipient_preview_masked; send_audit,browser_recipient_list_ignored; bulk_send_requires_approval; notification_audit_created
THR-SUP-001,support_tasks,information_disclosure,"Support agent sees raw OMR, answer key or payment payload through linked ticket context",high,Sensitive operational data leakage.,safe_summary_service; source_module_permission_recheck; field_masking; restricted_attachment_access; audit_reveal,support_sees_safe_summary_only; support_raw_omr_blocked; support_answer_key_blocked; support_provider_payload_blocked
